PPX,Date,Time,Index,Status,Product,Operator
13,5/16/2026,5:02:11,,Good,mixed leaf,Felix
13,5/16/2026,5:02:11,,Good,mixed leaf,Felix
13,5/16/2026,5:02:11,,Good,mixed leaf,Felix
13,5/16/2026,5:02:11,,Good,mixed leaf,Felix
13,5/16/2026,5:02:12,,Good,mixed leaf,Felix
13,5/16/2026,5:02:12,,Good,mixed leaf,Felix
13,5/16/2026,5:02:12,,Good,mixed leaf,Felix
13,5/16/2026,5:01:54,,Good,mixed leaf,Felix
13,5/16/2026,5:01:54,,Bad,mixed leaf,Felix
13,5/16/2026,5:01:54,,Reject,mixed leaf,Felix
13,5/16/2026,5:01:54,,Issue,mixed leaf,Felix
13,5/16/2026,5:17:23,,Good,mixed leaf,Felix
13,5/16/2026,5:17:25,,Good,mixed leaf,Felix
13,5/16/2026,5:17:27,,Good,mixed leaf,Felix
13,5/16/2026,5:18:37,,Good,mixed leaf,Felix
